"id","text","n_tokens","document_ids","entity_ids","relationship_ids","covariate_ids"
"72c428d19c253035db6c6e314742ef8c","""Bán chứng khoán lô lẻ
Để thuận tiện cho việc giao dịch chứng khoán lô lẻ của quý khách hàng, MBS thông báo triển khai dịch vụ giao dịch chứng khoán lô lẻ không qua sàn trên các kênh giao dịch online của MBS gồm: S24 và MBS Mobile App.
1. Quy định về giao dịch lô lẻ:
Cổ phiếu lô lẻ là cổ phiếu có khối lượng từ 1 đến 99 cổ phiếu hoặc theo quy định pháp luật từng thời kỳ. Nhà đầu tư có thể chọn giao dịch CP lô lẻ trực tiếp theo quy định của các Sở Giao dịch chứng khoán hoặc bán cho công ty chứng khoán theo chính sách từng công ty chứng khoán.
2. Cách thực hiện tại MBS:
Áp dụng cho Khách hàng đã đăng ký dịch vụ bán chứng khoán lô lẻ""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['b45241d70f0e43fca764df95b2b81f77' '4119fd06010c494caa07f439b333f4c5'
 'd3835bf3dda84ead99deadbeac5d0d7d' '077d2820ae1845bcbb1803379a3d1eae']",['6deaefe707f84b3dbda979dea0d095ac' 'c0866306dc8c4da2a8a81c0c3a78b657'],"['1cc44f14-79d1-40d0-802c-550baab2fae3'
 'f8144ad3-972a-4322-97cc-ddf33cc0097d']"
"8574f3834cc035915cdfb9d2eedd0dc1","� trực tiếp theo quy định của các Sở Giao dịch chứng khoán hoặc bán cho công ty chứng khoán theo chính sách từng công ty chứng khoán.
2. Cách thực hiện tại MBS:
Áp dụng cho Khách hàng đã đăng ký dịch vụ bán chứng khoán lô lẻ online của MBS.
MBS thực hiện thu mua cổ phiếu lô lẻ trên sàn HSX và HNX.
Khách hàng chỉ cần đăng nhập vào S24/MBS Mobile App và thực hiện bán chứng khoán lô lẻ vào thứ 6 hàng tuần (Thời gian đặt lệnh từ 8h sáng đến 5h30 chiều).
Giá giao dịch là giá sàn của cổ phiếu tại ngày hoàn tất giao dịch trên hệ thống MBS (sau khi VSD hoàn thành chuyển quyền sở hữu chứng khoán cho MBS).
Phí áp dụng: 0.45% giá trị chứng khoán lô lẻ thực hi",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 '19a7f254a5d64566ab5cc15472df02de' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '1fd3fa8bb5a2408790042ab9573779ee']","['d053ea9432a24fb192e8d6aa993b0caa' 'a3e683d294ed42a28d60d09a36cbeb54'
 '39887ca8567141d5b857b87a2bca4086' '9f77aa8888bd4f94abba8a77c4b0565c'
 '76b1e69904b84d09ba05c4b7efc48f32']",['959c8b7b-2770-4fd0-a80b-083373b31559']
"eab95c5e8ff4164dcfcbe12e60dd94ce","""ều).
Giá giao dịch là giá sàn của cổ phiếu tại ngày hoàn tất giao dịch trên hệ thống MBS (sau khi VSD hoàn thành chuyển quyền sở hữu chứng khoán cho MBS).
Phí áp dụng: 0.45% giá trị chứng khoán lô lẻ thực hiện giao dịch.
3. Lưu ý:
MBS mua lại các cổ phiếu lô lẻ theo danh mục thu mua từng giai đoạn. MBS có thể mua lại một phần hoặc toàn bộ khối lượng chứng khoán lô lẻ mà khách hàng đặt bán tùy theo số lượng giao dịch từng giai đoạn.
MBS không mua lại cổ phiếu lô lẻ MBB, các cổ phiếu của công ty cùng tập đoàn và các cổ phiếu sắp bị hủy niêm yết, cổ phiếu thuộc diện hạn chế giao dịch hoặc các cổ phiếu ngoài danh mục thu mua từng th""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'f7e11b0e297a44a896dc67928368f600'
 '27f9fbe6ad8c4a8b9acee0d3596ed57c' 'e1fd0e904a53409aada44442f23a51cb'
 'de988724cfdf45cebfba3b13c43ceede']",['a3e683d294ed42a28d60d09a36cbeb54' '8df8563ab0394ee9a91b89dea7d59404'],['8da5c012-47ec-417e-b4e9-01213aeb2e7d']
"1d3c82fc7b0630a6c46863b979a2af4c","""ịch từng giai đoạn.
MBS không mua lại cổ phiếu lô lẻ MBB, các cổ phiếu của công ty cùng tập đoàn và các cổ phiếu sắp bị hủy niêm yết, cổ phiếu thuộc diện hạn chế giao dịch hoặc các cổ phiếu ngoài danh mục thu mua từng thời kỳ.
Thời gian hoàn thành xử lý thu mua cổ phiếu lô lẻ dự kiến từ 5 đến 7 ngày làm việc kể từ ngày lệnh được xác định bảo đảm các quy định về lô, thời gian đặt lệnh và hồ sơ .
Bản công bố rủi ro
1. Giới thiệu hệ thống giao dịch trực tuyến của MBS
Công ty CP Chứng khoán MBS (“MBS”) cung cấp dịch vụ giao dịch chứng khoán trực tuyến cho Khách hàng theo Giấy phép được Ủy ban chứng khoán Nhà nước cấp""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'f7e11b0e297a44a896dc67928368f600' '96aad7cb4b7d40e9b7e13b94a67af206'
 'c9632a35146940c2a86167c7726d35e9']","['a3e683d294ed42a28d60d09a36cbeb54' '12398f70065143839d812fd42ac4b2e7'
 '74d43d20f251441baf8e3db64fedca43' '3f5590a604894d268603b4b27c3348b5']","['007eae33-b6dc-4724-9e73-0a17719043a8'
 '419889f6-41ff-4a94-8121-7a45b17ea7d5'
 '5fef1e3a-aa79-49b2-850c-bf6f0a47b31e'
 'c1d3552b-c02b-49f2-a2d4-3ce0ad50b457']"
"9ea072a756077acc1c0b5f1c59da3857","""ố rủi ro
1. Giới thiệu hệ thống giao dịch trực tuyến của MBS
Công ty CP Chứng khoán MBS (“MBS”) cung cấp dịch vụ giao dịch chứng khoán trực tuyến cho Khách hàng theo Giấy phép được Ủy ban chứng khoán Nhà nước cấp có hiệu lực tại thời điểm cung cấp dịch vụ.
Hệ thống giao dịch trực tuyến của MBS mang lại sự thuận tiện, linh hoạt, giúp khách hàng thực hiện giao dịch từ xa qua các phương tiện điện thoại, internet và các phương tiện trực tuyến khác một cách chủ động và nhanh chóng qua đó giúp Khách hàng tiết kiệm thời gian và chi phí.
2. Khuyến cáo những rủi ro có thể phát sinh từ giao dịch trực tuyến
MBS cam kết cố gắng hết sức trong việc mang lại cho Quý khách hàng dịch vụ""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '96aad7cb4b7d40e9b7e13b94a67af206' '9646481f66ce4fd2b08c2eddda42fc82']",['d053ea9432a24fb192e8d6aa993b0caa' '1b7a22f76f7741e8b140bdc3d8856d76'],"['f329aab1-4da7-4e69-bf45-b9c6dbe2de9d'
 'a0b2371c-55e8-45b6-96e4-e23856b8d6a6']"
"8778f2e1feedb2a804f63de12dfc56b3","""ách chủ động và nhanh chóng qua đó giúp Khách hàng tiết kiệm thời gian và chi phí.
2. Khuyến cáo những rủi ro có thể phát sinh từ giao dịch trực tuyến
MBS cam kết cố gắng hết sức trong việc mang lại cho Quý khách hàng dịch vụ tốt nhất và giảm thiểu rủi ro. Tuy nhiên, giao dịch trực tuyến vẫn tiềm ẩn một số rủi ro phát sinh từ thiết bị, đường truyền hoặc bên thứ ba cung cấp dịch vụ ngoài sự kiểm soát của MBS và Khách hàng. Khách hàng cam kết đã đọc và ý thức rõ ràng về những rủi ro có thể phát sinh bao gồm, nhưng không giới hạn:
Lỗi kỹ thuật phát sinh từ hệ thống phần cứng, phần mềm của MBS không hoạt động; hệ thống gặp sự cố, bị tấ""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'd91a266f766b4737a06b0fda588ba40b' 'bc0e3f075a4c4ebbb7c7b152b65a5625']","['d053ea9432a24fb192e8d6aa993b0caa' 'b823ba1bfe944fa9887edd8faf8a5f17'
 '1219a14eaf5f49ab84c9287ebf58db7a']",['a204b7c7-a448-4079-88bd-88a9579a4ae1']
"fed1b4e2531fa3c89795c65da306e3cf","""ách hàng cam kết đã đọc và ý thức rõ ràng về những rủi ro có thể phát sinh bao gồm, nhưng không giới hạn:
Lỗi kỹ thuật phát sinh từ hệ thống phần cứng, phần mềm của MBS không hoạt động; hệ thống gặp sự cố, bị tấn công, bị can thiệp bất hợp pháp hoặc bị nhiễm virut làm ngưng trệ các hoạt động trao đổi thông tin, gây nhầm lẫn, sai sót khi nhận dạn Khách hàng hoặc làm cho việc tiếp nhận, xử lý, thực hiện giao dịch trực tuyến của Khách hàng bị ảnh hưởng;
Những sự cố và/hoặc nguy cơ ngưng trệ hoạt động của hệ thống mạng do nghẽn đường truyền, đứt đường truyền, dung lượng đường truyền bị hạn chế hoặc những sự cố""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 '254770028d7a4fa9877da4ba0ad5ad21' '4a67211867e5464ba45126315a122a8a'
 '04dbbb2283b845baaeac0eaf0c34c9da']","['d053ea9432a24fb192e8d6aa993b0caa' 'f7ac6bc4a9ca4250ad29a3adb5d08657'
 'ac2ee54e75a2492c8db372dadfccd083']","['e0c80c88-8db9-4545-be30-78273653e0c6'
 'c5c9705b-95d3-43a2-a553-b2a565b0e8ac']"
"d03a5be917279f47816e4c9711cc5798","""ch trực tuyến của Khách hàng bị ảnh hưởng;
Những sự cố và/hoặc nguy cơ ngưng trệ hoạt động của hệ thống mạng do nghẽn đường truyền, đứt đường truyền, dung lượng đường truyền bị hạn chế hoặc những sự cố khách quan khác; đường truyền kết nối từ MBS đến các Sở Giao dịch Chứng khoán bị lỗi, ngừng hoạt động, khiến cho giao dịch của Khách hàng bị chậm thực hiện, không được thực hiện hoặc bị bỏ sót, trùng lặp hay phát sinh lỗi do các nguyên nhân từ phía nhà cung cấp;
Lệnh giao dịch có thể bị treo, ngừng, trì hoãn hoặc có lỗi dữ liệu;
Bảng giá chứng khoán và các thông tin chứng khoán khác có thể có lỗi hoặc sai lệch xảy ra trong quá trình giao dị""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' '3671ea0dd4e84c1a9b02c5ab2c8f4bac'
 'e7ffaee9d31d4d3c96e04f911d0a8f9e' '1943f245ee4243bdbfbd2fd619ae824a'
 '273daeec8cad41e6b3e450447db58ee7' 'e69dc259edb944ea9ea41264b9fcfe59']","['d0bfb473fdc64643954cdb4675e2f389' '68f998c9c8c34bb7a994de5a998bb9a0'
 'aafc13d02ade40adae13d3bee241817a' 'c0e28ae832c94405b8ddd4d2ad978be5']","['39dd5228-1268-42c1-b48c-6c0757a0a0e8'
 '1d001660-0c7e-4c7e-8062-aa810d4f5529']"
"aca5193f0679c6672a279110869b8758","""các nguyên nhân từ phía nhà cung cấp;
Lệnh giao dịch có thể bị treo, ngừng, trì hoãn hoặc có lỗi dữ liệu;
Bảng giá chứng khoán và các thông tin chứng khoán khác có thể có lỗi hoặc sai lệch xảy ra trong quá trình giao dịch trực tuyến;
Thông tin tài khoản, tên truy cập, mật khẩu và/hoặc mã bảo mật của Khách hàng bị tiết lộ hoặc bị bên thứ ba chiếm đoạt/sử dụng bất hợp pháp;
Các nguyên nhân khách quan như: thiên tai, động đất ảnh hướng đến hệ thống phần cứng;
Bất kỳ rủi ro nào khác theo quy định của pháp luật có thể phát sinh mà Khách hàng gặp phải trong quá trình giao dịch trực tuyến.
3. Miễn trừ trách nhiệm
MBS không chịu trách""",300,['d1d8f00369755e0157bedf841fd57ee7'],['4119fd06010c494caa07f439b333f4c5' 'e2f5735c7d714423a2c4f61ca2644626'],['a4db1b2a9c3e4d2d838725f8166c36b4'],['0934d88b-6b60-4313-a60c-3528eb07c5a4']
"7f0880f07529079291b15cc45b96a2de","""ảnh hướng đến hệ thống phần cứng;
Bất kỳ rủi ro nào khác theo quy định của pháp luật có thể phát sinh mà Khách hàng gặp phải trong quá trình giao dịch trực tuyến.
3. Miễn trừ trách nhiệm
MBS không chịu trách nhiệm đối với bất kỳ sai sót hoặc tổn thất, thiệt hại (nếu có) của Khách hàng phát sinh và/hoặc liên quan đến những rủi ro trong giao dịch trực tuyến; đồng thời, không chịu trách nhiệm nếu khách hàng để lộ các thông tin bảo mật.
4. Hỗ trợ:
Trong trường hợp Quý khách phát hiện người khác sử dụng mật khẩu truy cập và thực hiện các giao dịch trái phép, xin vui lòng thông báo ngay cho MBS qua tổng đài 1900 9088 để Công ty có biện pháp xử l""",300,['d1d8f00369755e0157bedf841fd57ee7'],"['4119fd06010c494caa07f439b333f4c5' 'e7ffaee9d31d4d3c96e04f911d0a8f9e'
 'd91a266f766b4737a06b0fda588ba40b' 'deece7e64b2a4628850d4bb6e394a9c3'
 'e657b5121ff8456b9a610cfaead8e0cb' 'bf4e255cdac94ccc83a56435a5e4b075']","['d053ea9432a24fb192e8d6aa993b0caa' '8dae140578c841ae9373cbc607c4a6e6'
 '81a4818e5cf84ea085abf09de385c86e' 'efaa386bd5e9454b87e1851cd8b28ac3']",['fbeceea4-3cb8-4700-9af5-258ba95ee7f3']
